"No.","Time","Source","Destination","Protocol","Length","Info"
"540","1.630922","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"541","1.632954","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"542","1.632954","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"543","1.650445","192.168.31.102","144.196.161.48","RTCP","70","Receiver Report   "
"544","1.651071","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"545","1.654238","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"546","1.660611","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"547","1.660611","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"548","1.660611","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"549","1.660611","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"550","1.660898","192.168.31.102","144.196.161.48","RTCP","134","Receiver Report   "
"551","1.660954","192.168.31.102","144.196.161.48","RTCP","70","Receiver Report   "
"552","1.660987","192.168.31.102","144.196.161.48","RTCP","70","Receiver Report   "
"553","1.661009","192.168.31.102","144.196.161.48","RTCP","70","Receiver Report   "
"554","1.661032","192.168.31.102","144.196.161.48","RTCP","98","Receiver Report   "
"555","1.670896","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"556","1.691182","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"557","1.703481","144.196.161.48","192.168.31.102","UDP","1250","5004  >  56532 Len=1208"
"558","1.703481","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"559","1.703828","192.168.31.102","144.196.161.48","RTCP","134","Receiver Report   "
"560","1.709798","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"561","1.709798","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"562","1.709798","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"563","1.709798","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"564","1.710970","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"565","1.711028","192.168.31.102","144.196.161.48","UDP","92","56532  >  5004 Len=50"
"566","1.711060","192.168.31.102","144.196.161.48","UDP","90","56532  >  5004 Len=48"
"567","1.711083","192.168.31.102","144.196.161.48","UDP","90","56532  >  5004 Len=48"
"568","1.730822","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"569","1.740345","192.168.31.102","144.196.161.48","RTCP","134","Receiver Report   "
"570","1.741684","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"571","1.741684","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"572","1.741684","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"573","1.750975","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"574","1.753507","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"575","1.766087","192.168.31.102","144.196.161.48","UDP","89","56532  >  5004 Len=47"
"576","1.766161","192.168.31.102","144.196.161.48","UDP","221","56532  >  5004 Len=179"
"577","1.766285","192.168.31.102","144.196.161.48","RTCP","134","Receiver Report   "
"578","1.769781","144.196.161.48","192.168.31.102","UDP","1250","5004  >  56532 Len=1208"
"579","1.769781","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"580","1.770963","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"581","1.778265","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"582","1.785454","170.72.250.72","192.168.31.102","TCP","54","443  >  50681 [ACK] Seq=38 Ack=68 Win=330 Len=0"
"583","1.785454","170.72.250.72","192.168.31.102","TLSv1.2","125","Application Data"
"584","1.785490","192.168.31.102","170.72.250.72","TCP","66","[TCP Dup ACK 486#1] 50681  >  443 [ACK] Seq=68 Ack=1 Win=509 Len=0 SLE=38 SRE=109"
"585","1.790979","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
